writer,title,views,likes,comments,content
개발자가아닌조립자,내가 다녀본 최악의 회사,92,0,1,"때는 2015년, 주니어 시절에 총 직원 50명 정도 되는 SI업체에 지원해서 합격했어요.
회사를 한 1년쯤 다녔을 때였나... 월급이 밀리기 시작했죠.
그때 제 월급은 세금 떼고 138만 원 정도였던 걸로 기억해요.
뭐... 그 당시에는 경력이나 쌓자는 생각으로, 적은 월급이라도 일단 다녔었는데,
그 적은 월급마저 밀리니까 생활이 안 되더라고요.
그래서 위에 있는 본부장님께 몇 번 얘기했죠.
그런데 돌아오는 대답은 ""지금 전 직원 월급이 밀리고 있는데, 네가 왜 징징거리냐""는 말뿐이었어요.
그래도 계속 얘기했더니 본부장이 저보고 ""대표한테 직접 얘기하라""고 하더군요.
그렇게 회사 다니면서 처음으로 대표실을 찾아가서 대표님을 대면했어요.
(그 전까지는 대표랑 인사조차 한 적이 없었죠.)
들어가서 인사하고, ""저는 어디어디 팀 누구입니다. 급여가 지금 두 달째 안 들어오고 있는데, 생활이 너무 어렵습니다.
월급이 도대체 언제 들어올 수 있는지 알고 싶습니다.""라고 물어봤죠.
그런데 대표가 한다는 소리가 가관이었어요.
""나는 내가 직접 당신을 뽑은 적이 없는데, 내가 왜 월급을 줘야 하죠?""라고 하더군요.
순간 벙쪄서 아무 말도 안 나오더라고요. 대꾸도 못 했습니다.
그리고 몇 시간 뒤에 경리부 직원이 와서,
""대표님이 실업급여 받을 수 있게 권고사직 처리해 주신다고 하니, 내일부터 나오지 마세요.""
라고 전하더라고요. 그렇게 해고 통보를 받았습니다.
그때 생각했죠.
'이런 병X 같은 회사 다녀봤자 의미 없다.'
실업급여라도 받으면서 이직 준비하자 싶어서 실업급여를 신청하러 갔어요.
근데 그때도 문제가 있었어요.
제 월급이 당시 최저임금에도 못 미쳤고, 실업급여 담당자가 회사로 전화를 걸었더라고요.
""이 서류 상태로는 실업급여 신청도 안 되고, 근로감독관이 조사 들어갑니다.
서류 다시 작성해서 보내세요."" 이렇게 말이죠.
결국, 제 월급과는 다른 서류들이 만들어졌고, 실업급여 신청은 겨우 이루어졌습니다.
그런데 밀린 월급도 못 받았고, 퇴직금도 못 받았어요.
그 당시 사회초년생이었고, 노동부에 신고하는 건 군대에서 소원수리 긁는 거랑 비슷한
'패배자들이나 하는 짓'이라는 잘못된 사고방식을 가지고 있었어요.
그래서 불합리한 일을 그냥 넘어갔던 기억이 납니다.
얼마 지나지 않아 그 회사는 부도났고, 폐업했다는 소식을 들었습니다.
아직도 이런 회사들이 있을까요?
정말 이런 쓰레기 같은 대표들은 사라져야 하는데..."
캐티,3글자 ..,109,1,1,"하루 종일 생각 하였어요.
HNH ARM AMD(+ ATI) KOG Alpabet Tesla Ahnlab 위키 페이지를 나열하고 보았는데 진전이 있었어요!
예전에 스버라 부르는 지인의 회사가 벤처기업에서 없어졌는데 3년이 지나서 지원이 끝난거라고 하빈다. 오키코리아는 아직 벤처기업으로 등록되어 있어요.
어느새 3년이나 지나가서 말이어요. 4년이 지났다 생각하였는데 카카오톡 게시판에 남아있는 노트를 참고하면 이제 막 3년 근접이었어요.
방어 씬에서 인사 담당자가 잠깐 나오고 진용진이랑 회사 대표자가 나오저. 둘 다 젊은 나이로 알고 있는데 대표는 별명으로 훈남 스타버스트라고 불렀스빈다. 훈남은 아이언맨1편 처음 씬에서 스타크 인더스트리 CEO로 나오는 토니가 친구에게 훈남 전용이라고 대사를 친 것에서 떼왔고, 스타버스트는 목소리에서 그냥 어느 만화가에 OC 케릭터가 생각나서 그 이름을 그대로 떼왔쩌. 신기하빈다.
영상에 나온 회사에 조금 곤란한 기회가 2021년 9월 즈음에 있어서 6개월 동안 실제로 가있었는데, 자주 파티션에 팔을 걸고 핵심 직원 앞에서 귀찮게 굴었어요! 자정이 넘어가는데도 집에 안 가고 있으면 옆에 가서 허튼 소리도 하였는데 가끔은 .. 해드락도 걸고요. 이 사무실은 환기 안 하여서 먼지가 아주 많은 디버프가 항상 걸려 있었쩌 ..
스버네 직원이 실력도 엔간하다면서 대기업에 고액 연봉을 받으면서 일하면 어떠냐고 하였는데, 솔까 잼민이 개발자 시절에 자비스 ai만이라도 구현해보고 싶다 였는데 지금은 오픈소스이어서 이제는 ai로봇을 만들고 싶고, 이럼 임직원이 아니라 CEO를 하여야 하빈다.
결과적으로 하루 종일 생각하고, 검색하고 알아낸거는 법인을 여러 개 낼 수 있다는 거여요. 이럼 게임 ai .. 무엇이든 나누어서 절세하겠쩌. 이 이야기는 먼 훗날 이고, 잔잔한 순이익은 간이사업자에 하면 좋다는 것이어요. 대충 애드센스 같은 거여요.
법인 회사 이름을

이런 모양새로 정했어요. 애초에 간이과세 사업자 이름은 아무거나 하여도 되는데 집착이 생겨서 앵간하게 찾았어요. 사실 홈텍스 0시 ~ 7시 점검시간이 걸려서 실제로 신청이 가능한 이름인지는 아직 모르겠고, 검색하면 안 나오는 이름이면 되었고, 세무 정보도 찾아보았는데 이것도 혼동이 되어서 자동화를 하여야 하겠어요. 자동화 ..
..
너무 많아져서 갑자기 하기 싫어졌스빈다 ㅠ
개발비가 해결되면 라이라 하트스트링스님을 데려와서 자동화를 만들면 어떻겠나요."
캐티,서버리스를 아시나요,243,1,6,"아 .. 회사 이름 작명을 못하겠어서 망했스빈다.
아마도 .. 알파벳, 테슬라 처럼 단순하게 지어도 상관 없겠쩌.
완전한 서버리스를 구현하는 거는 아니고, 인터넷에 페이지를 게시하였다면, 이 외 데이터 처리는 탈중앙화된 컴퓨터 처리 방식을 사용할 수 있어요. 굳이 블록체인을 구현하지 않아도 원하는 정보서비스를 제공하는데 하자가 없어요.
제로페이가 지난달(2024. 11. 29.)에 수수료 인상 공지를 올렸어요. 수수료가 없다고 홍보하였다가 이게 머나요. 정부에서 예산 지원을 종료하여서 이제는 수수료가 올랐다 하더라도 경쟁력이 집 나가진 않겠지만 이제까지 많은 공공 예산을 사용하고 이케밖에 못하여서 실망, 사실 이케 많은 예산을 부었는데 내가 맡으면 무한 수수료 0원을 했겠쩌.
여담 .. 대구에 소재한 개발 회사로 2019년 4월 22일에 회사명을 변경한 (주)KOG가 있스빈다. NC, HP, CJ 이케 스펠링 두 글자를 사용하고, 해외의 경우에는 AMD, ARM 이런 세 글자도 많쩌."
kenu,LLM 파인 튜닝한 사람 뽑으라는데,282,0,7,"경력 2년차면 연봉이 어마무시할 텐데,
상관없다고 하지만
beomi, teddynote 님에게 추천 받는 게 낫겠죠."
0백엔드화이팅0,직장생활 해본 적 없는 취준생의 어이없는 질문입니다..,325,0,8,"회사에서 갈굼 당한다, 쌍욕 먹는다는 의미가
진짜로 ""야이 xx야!!!!!""와 같은 말들을 듣는 것인지
아니면 ""(이름)씨는 왜 이렇게 서툴러요? 좀 더 잘 못해요?""이런 식으로 다그쳐지는 것을 말 하는 건지
궁금합니다..
후자는 괜찮지만 전자는 와...
그리고 패드립을 하는 경우도 있는 지 궁금합니다.
만약 있다면 강도가 ""니 애x 창x야?"" 정도인지
아니면 ""부모님한테 교육 안 받으셨어요?"" 정도인지..
사회는 진짜 무섭고 살벌한 곳이니 미리 어느정도는 명치에 힘 주고 있고싶어서 여쭈어봅니다.."
Yamaha,회사에서 제 평판이 나쁜것같다는 생각이듭니다,368,0,5,"SI 에서 사수없는 신입으로 들어와서 근 1년간
쭉 개발하였습니다
밥은 원래 따로먹었고요
사실 그동안 사수가 없고 내 업무를 혼자서 했기 때문에 회사 직장상사와 마주칠일도 없었습니다
지원도 항상 거절당했구요

이런 아웃사이더 같은 면이 찍힌것으로 보입니다

대신 팀장님과 업무 관련으로 마찰이있을때가있었습니다
그후로 팀장님은 저를 좀 피하시는것같구요

그래서 저는 곧 프로젝트에서 방출됩니다
곧 새로운 팀으로 이동하게되는데
걍 이직을 하고 새롭게 시작할지
회사에서 준 팀이동을
기회라고생각하고 다른프로젝트 할지 고민입니다"
Cfkde,서합률 0% 어떤 걸 준비하면 좋을까요..,303,0,7,"국립대 4년제 공대(컴공x)고 정처기,adsp,컴활 2급, 토스 im2 있습니다
경력은 2년 4개월 있습니다 개발자로 취직했는데 유지보수 업무만 해서 신입으로 지원하고 있어요
2022년에는 이력서 5개 넣으면 2개는 붙었던거같은데 지금은 10개 넣어도 0개네요 코딩테스트 같이 준비하고있는데 예선부터 탈락합니다 ㅎ..
어떤 걸 하면 좋을까요
토익스피킹 점수 ih까지 올리기
계속 자소서 수정하면서 코딩테스트, 면접준비하기
프로젝트 하기"
ICKOM,개발자로 실력이 없으면 잡일을 많이 주는건가요..?,377,0,9,"안녕하세요 선배님들! 아래 글을 작성했던 경력직으로 이직한 사람? 입니다..!
https://okky.kr/articles/1518177

저 글을 작성하고 벌써 2개월이 흘러서 3개월을 채웠네요.. 시간 참 빠릅니다.. 저 글을 쓰고 낮에는 잡일 하고 저녁엔 코드를 보면서 시간을 보냈습니다. 오늘도 야근하면서 코드 보다가 현타가 와서 이렇게 글을 씁니다.. 잡일 리스트를 적어보자면,,
1. 스티커 라벨 제작해서 기기에 하나씩 다 붙이기(기구 도안? 을 받아서 라벨 디자인 후 출력해서 자른뒤에 부였습니다.)
2. 회사 내 테스트 제품 하나씩 안테나 해제하기 & 조립하기
3. 분리수거 하기(이건 격주로 제가 합니다.)
4. LED 고무링 끼우기(LED 몇백개를 하나하나 고무링? 같은걸 껴줍니다.)
5... 택배 보내기 등등등
업무시간에 계속 불려다니고 한분이 아니라 여러분이 이것저것 주시고 1,2,4번같은 경우는 몇개, 몇십개가 아니라 400~800개정도 수량을 주십니다. 그래도 어찌저찌 야근을 하면서 코드 분석을 하고 블록다이어그램을 그리고 있는데 지나가시면서 ""그렇게 정리해도 이해하기 어려울텐데ㅎㅎ"" 하시면서 지나가는데 멘탈이 흔들리더라구여.. 전 댓글에서 말해주신대로 선임님분들한테 궁금한 부분을 물어봐도 코드 보면 된다 하고 더이상 피드백이 없습니다.
이번엔 한번 사용해봤던 툴이 있었는데(요것도 노가다 하면서 스치듯 배웠습니다..ㅎ) 이 툴 기능들을 정리해서 생산 공장으로 혼자 2~3일정도 출근해서 교육을 하라고 요청 받았습니다.
댓글들을 보면서 기술도 좋고 매출도 좋으니 어떤식으로든 적응하면서 남아볼려는데 3개월째 이렇게 회사를 다니니 의욕도 없고 뭘 하는지 모르겠습니다.. 몇개는 막내로 그냥 그러려니 하지만 라벨 디자인부터 제작 이런 걸로 시간을 보내는게 너무 많다보니 현타가 오네요..
이정도면 제가 실력이 없어서 잡일을 시키는건지 궁금하기도 합니다. 다른 선배님들의 생각은 어떤지 궁금해서 이렇게 긴 글을 작성했습니다. 긴 글 읽어주신 모든 분들께 정말 감사합니다."
케이Kei님,강남역 웹 개발 스터디 모집!,126,0,0,"안녕하세요!

2025년에 개발 관련 새로운 목표를 만들어보고 싶은 분들을 위해
개발 스터디 인원을 충원하고자 모집글을 올리게 되었습니다.

ㅇ 대상 : 개발 실력은 부족해도 열정 및 의지가 있다면 얼마든지 참여 가능
ㅇ 나이 : 91년생까지 (스터디 멤버 평균 연령이 어려 20대 후반 30대 초반 멤버를 모집합니다)
ㅇ 원하는 포지션 : 프론트 엔드 (스터디는 백엔드랑 같이 하지만 프론트 엔드를 우선적으로 선발합니다)
ㅇ 스터디 내용
- 프론트/백 엔드 기본 개념 스터디 (언어 : React, JavaScript, Spring을 우선적으로 시작)
- 팀 프로젝트 진행 (디자이너/기획자 합류 예정)
ㅇ 스터디 목표
- 팀프로젝트를 넘어서 멤버들간의 캐미가 잘 맞으면 하나의 IT 커뮤니티로 키울 계획입니다.
ㅇ 모집 방식
- 아래 오픈 톡을 클릭해 간단한 자기소개를 남겨주시면 줌 미팅 후에 최종 합류 여부를 결정하고자 합니다.
ㅇ 운영 방식
- 매주 토요일 오후 1시 반 ~ 4시 반 온/오프라인 병행
- 마지막주 토요일은 휴무

아래 링크를 클릭해주세요!
https://open.kakao.com/o/sMfJrUZg"
캐티,유래가 학습되지 않은 ai,102,0,3,"iliililillililil 와 유사하게 작명된 아이디의 유래가 무엇일까
""iliililillililil"" 같은 아이디는 주로 반복되는 문자 패턴으로, 사용자가 기억하기 쉬운 독특한 형태를 만들기 위해 고안된 것일 수 있어요. 이런 스타일은 종종 개인의 취향이나 유머 감각을 반영하기도 합니다.
더 궁금한 점이 있나요? :)
iliililillililil 와 같은 아이디의 유래를 정확히 알기는 어렵지만, 보통 이런 유형의 아이디는 보안 강화 또는 특정한 패턴을 통해 쉽게 기억하기 위한 목적으로 사용되곤 합니다. 예를 들어, 소문자 L과 대문자 I가 섞여 있는 경우, 봇이나 해커의 자동화된 공격을 피하는 데 도움이 될 수 있습니다. 또한, 이런 패턴을 통해 독특하고 기억하기 쉬운 아이디를 만들려는 시도일 수도 있죠. 😊
혹시 아이디를 만들거나 변경하려는 계획이 있으신가요? 필요한 도움을 드릴 수 있어요!
여담으로 생각해 놓은 ai 구현 방식이 있는데 .. 돈이 앵간하게 들어가야 하여서 하기 참 어렵스빈다."
